encoding,code,code_clean,description,p_type_cd,d_type_cd,observations
ICD-10,0SRC0NZ,0SRC0NZ,"Replacement of patellofemoral right knee joint with synthetic substitute, open approach, no qualifier.",PROD,,
ICD-10,0SRD069,0SRD069,"Replacement of left knee joint with oxidized zirconium on polyethylene synthetic substitute, cemented, open approach.",PROD,,
ICD-10,0SRD06A,0SRD06A,"Replacement of left knee joint with oxidized zirconium on polyethylene synthetic substitute, uncemented, open approach.",PROD,,
ICD-10,0SRD06Z,0SRD06Z,"Replacement of left knee joint with oxidized zirconium on polyethylene synthetic substitute, open approach, no qualifier.",PROD,,
ICD-10,0SRD0J9,0SRD0J9,"Replacement of left knee joint with synthetic substitute, cemented, open approach.",PROD,,
ICD-10,0SRD0JA,0SRD0JA,"Replacement of left knee joint with synthetic substitute, uncemented, open approach.",PROD,,
ICD-10,0SRD0JZ,0SRD0JZ,"Replacement of left knee joint with synthetic substitute, open approach, no qualifier.",PROD,,
ICD-10,0SRD0L9,0SRD0L9,"Replacement of medial unicondylar left knee joint with synthetic substitute, cemented, open approach.",PROD,,
ICD-10,0SRD0LA,0SRD0LA,"Replacement of medial unicondylar left knee joint with synthetic substitute, uncemented, open approach.",PROD,,
ICD-10,0SRD0LZ,0SRD0LZ,"Replacement of medial unicondylar left knee joint with synthetic substitute, open approach, no qualifier.",PROD,,
ICD-10,0SRD0M9,0SRD0M9,"Replacement of lateral unicondylar left knee joint with synthetic substitute, cemented, open approach.",PROD,,
ICD-10,0SRD0MA,0SRD0MA,"Replacement of lateral unicondylar left knee joint with synthetic substitute, uncemented, open approach.",PROD,,
ICD-10,0SRD0MZ,0SRD0MZ,"Replacement of lateral unicondylar left knee joint with synthetic substitute, open approach, no qualifier.",PROD,,
ICD-10,0SRD0N9,0SRD0N9,"Replacement of patellofemoral left knee joint with synthetic substitute, cemented, open approach.",PROD,,
ICD-10,0SRD0NA,0SRD0NA,"Replacement of patellofemoral left knee joint with synthetic substitute, uncemented, open approach.",PROD,,
ICD-10,0SRD0NZ,0SRD0NZ,"Replacement of patellofemoral left knee joint with synthetic substitute, open approach, no qualifier.",PROD,,
ICD-10,0SRT0J9,0SRT0J9,"Replacement of right femoral surface of knee joint with synthetic substitute, cemented, open approach.",PROD,,
ICD-10,0SRT0JA,0SRT0JA,"Replacement of right femoral surface of knee joint with synthetic substitute, uncemented, open approach.",PROD,,
ICD-10,0SRT0JZ,0SRT0JZ,"Replacement of right femoral surface of knee joint with synthetic substitute, open approach, no qualifier.",PROD,,
ICD-10,0SRU0J9,0SRU0J9,"Replacement of right tibial surface of knee joint with synthetic substitute, cemented, open approach.",PROD,,
ICD-10,0SRU0JA,0SRU0JA,"Replacement of right tibial surface of knee joint with synthetic substitute, uncemented, open approach.",PROD,,
ICD-10,0SRU0JZ,0SRU0JZ,"Replacement of right tibial surface of knee joint with synthetic substitute, open approach, no qualifier.",PROD,,
ICD-10,0SRV0J9,0SRV0J9,"Replacement of right patellar surface of knee joint with synthetic substitute, cemented, open approach.",PROD,,
ICD-10,0SRV0JA,0SRV0JA,"Replacement of right patellar surface of knee joint with synthetic substitute, uncemented, open approach.",PROD,,
ICD-10,0SRV0JZ,0SRV0JZ,"Replacement of right patellar surface of knee joint with synthetic substitute, open approach, no qualifier.",PROD,,
ICD-10,0SRW0J9,0SRW0J9,"Replacement of right acetabular surface of knee joint with synthetic substitute, cemented, open approach.",PROD,,
ICD-10,0SRW0JA,0SRW0JA,"Replacement of right acetabular surface of knee joint with synthetic substitute, uncemented, open approach.",PROD,,
ICD-10,0SRW0JZ,0SRW0JZ,"Replacement of right acetabular surface of knee joint with synthetic substitute, open approach, no qualifier.",PROD,,
ICD-10,0SR9019,0SR9019,"Replacement of Right Hip Joint with Metal Synthetic Substitute, Cemented, Open Approach",PCAD,,
ICD-10,0SR901A,0SR901A,"Replacement of Right Hip Joint with Metal Synthetic Substitute, Uncemented, Open Approach",PCAD,,
ICD-10,0SR901Z,0SR901Z,"Replacement of Right Hip Joint with Metal Synthetic Substitute, Open Approach",PCAD,,
ICD-10,0SR9029,0SR9029,"Replacement of Right Hip Joint with Metal on Polyethylene Synthetic Substitute, Cemented, Open Approach",PCAD,,
ICD-10,0SR902A,0SR902A,"Replacement of Right Hip Joint with Metal on Polyethylene Synthetic Substitute, Uncemented, Open Approach",PCAD,,
ICD-10,0SR902Z,0SR902Z,"Replacement of Right Hip Joint with Metal on Polyethylene Synthetic Substitute, Open Approach",PCAD,,
ICD-10,0SR9039,0SR9039,"Replacement of Right Hip Joint with Ceramic Synthetic Substitute, Cemented, Open Approach",PCAD,,
ICD-10,0SR903A,0SR903A,"Replacement of Right Hip Joint with Ceramic Synthetic Substitute, Uncemented, Open Approach",PCAD,,
ICD-10,0SR903Z,0SR903Z,"Replacement of Right Hip Joint with Ceramic Synthetic Substitute, Open Approach",PCAD,,
ICD-10,0SR9049,0SR9049,"Replacement of Right Hip Joint with Ceramic on Polyethylene Synthetic Substitute, Cemented, Open Approach",PCAD,,
ICD-10,0SR904A,0SR904A,"Replacement of Right Hip Joint with Ceramic on Polyethylene Synthetic Substitute, Uncemented, Open Approach",PCAD,,
ICD-10,0SR904Z,0SR904Z,"Replacement of Right Hip Joint with Ceramic on Polyethylene Synthetic Substitute, Open Approach",PCAD,,
ICD-10,0SR9069,0SR9069,"Replacement of Right Hip Joint with Oxidized Zirconium on Polyethylene Synthetic Substitute, Cemented, Open Approach",PCAD,,
ICD-10,0SR906A,0SR906A,"Replacement of Right Hip Joint with Oxidized Zirconium on Polyethylene Synthetic Substitute, Uncemented, Open Approach",PCAD,,
ICD-10,0SR906Z,0SR906Z,"Replacement of Right Hip Joint with Oxidized Zirconium on Polyethylene Synthetic Substitute, Open Approach",PCAD,,
ICD-10,0SR90J9,0SR90J9,"Replacement of Right Hip Joint with Synthetic Substitute, Cemented, Open Approach",PCAD,,
ICD-10,0SR90JA,0SR90JA,"Replacement of Right Hip Joint with Synthetic Substitute, Uncemented, Open Approach",PCAD,,
ICD-10,0SR90JZ,0SR90JZ,"Replacement of Right Hip Joint with Synthetic Substitute, Open Approach",PCAD,,
ICD-10,0SR9009,0SR9009,"Replacement of right hip joint with metal synthetic substitute, cemented, open approach",PCAD,,
ICD-10,0SR900A,0SR900A,"Replacement of right hip joint with metal synthetic substitute, uncemented, open approach",PCAD,,
ICD-10,0SR900Z,0SR900Z,"Replacement of right hip joint with metal synthetic substitute, open approach, no qualifier",PCAD,,
ICD-10,0SRA019,0SRA019,"Replacement of right acetabular surface of hip joint with metal synthetic substitute, cemented, open approach",PCAD,,
ICD-10,0SRA01A,0SRA01A,"Replacement of right acetabular surface of hip joint with metal synthetic substitute, uncemented, open approach",PCAD,,
ICD-10,0SRA01Z,0SRA01Z,"Replacement of right acetabular surface of hip joint with metal synthetic substitute, open approach, no qualifier",PCAD,,
ICD-10,0SRA029,0SRA029,"Replacement of right acetabular surface of hip joint with metal on polyethylene synthetic substitute, cemented, open approach",PCAD,,
ICD-10,0SRA02A,0SRA02A,"Replacement of right acetabular surface of hip joint with metal on polyethylene synthetic substitute, uncemented, open approach",PCAD,,
ICD-10,0SRA02Z,0SRA02Z,"Replacement of right acetabular surface of hip joint with metal on polyethylene synthetic substitute, open approach, no qualifier",PCAD,,
ICD-10,0SRA039,0SRA039,"Replacement of right acetabular surface of hip joint with ceramic synthetic substitute, cemented, open approach",PCAD,,
ICD-10,0SRA03A,0SRA03A,"Replacement of right acetabular surface of hip joint with ceramic synthetic substitute, uncemented, open approach",PCAD,,
ICD-10,0SRA03Z,0SRA03Z,"Replacement of right acetabular surface of hip joint with ceramic synthetic substitute, open approach, no qualifier",PCAD,,
ICD-10,0SRA049,0SRA049,"Replacement of right acetabular surface of hip joint with ceramic on polyethylene synthetic substitute, cemented, open approach",PCAD,,
ICD-10,0SRA04A,0SRA04A,"Replacement of right acetabular surface of hip joint with ceramic on polyethylene synthetic substitute, uncemented, open approach",PCAD,,
ICD-10,0SRA04Z,0SRA04Z,"Replacement of right acetabular surface of hip joint with ceramic on polyethylene synthetic substitute, open approach, no qualifier",PCAD,,
ICD-10,0SRA069,0SRA069,"Replacement of right acetabular surface of hip joint with oxidized zirconium on polyethylene synthetic substitute, cemented, open approach",PCAD,,
ICD-10,0SRA06A,0SRA06A,"Replacement of right acetabular surface of hip joint with oxidized zirconium on polyethylene synthetic substitute, uncemented, open approach",PCAD,,
ICD-10,0SRA06Z,0SRA06Z,"Replacement of right acetabular surface of hip joint with oxidized zirconium on polyethylene synthetic substitute, open approach, no qualifier",PCAD,,
ICD-10,0SRA0J9,0SRA0J9,"Replacement of right acetabular surface of hip joint with synthetic substitute, cemented, open approach",PCAD,,
ICD-10,0SRA0JA,0SRA0JA,"Replacement of right acetabular surface of hip joint with synthetic substitute, uncemented, open approach",PCAD,,
ICD-10,0SRA0JZ,0SRA0JZ,"Replacement of right acetabular surface of hip joint with synthetic substitute, open approach, no qualifier",PCAD,,
ICD-10,0SRA009,0SRA009,"Replacement of right acetabular surface of hip joint with polyethylene synthetic substitute, cemented, open approach",PCAD,,
ICD-10,0SRA00A,0SRA00A,"Replacement of right acetabular surface of hip joint with polyethylene synthetic substitute, uncemented, open approach",PCAD,,
ICD-10,0SRA00Z,0SRA00Z,"Replacement of right acetabular surface of hip joint with polyethylene synthetic substitute, open approach, no qualifier",PCAD,,
ICD-10,0SRB019,0SRB019,"Replacement of left acetabular surface of hip joint with metal synthetic substitute, cemented, open approach",PCAD,,
ICD-10,0SRB01A,0SRB01A,"Replacement of left acetabular surface of hip joint with metal synthetic substitute, uncemented, open approach",PCAD,,
ICD-10,0SRB01Z,0SRB01Z,"Replacement of left acetabular surface of hip joint with metal synthetic substitute, open approach, no qualifier",PCAD,,
ICD-10,0SRB029,0SRB029,"Replacement of left acetabular surface of hip joint with metal on polyethylene synthetic substitute, cemented, open approach",PCAD,,
ICD-10,0SRB02A,0SRB02A,"Replacement of left acetabular surface of hip joint with metal on polyethylene synthetic substitute, uncemented, open approach",PCAD,,
ICD-10,0SRB02Z,0SRB02Z,"Replacement of left acetabular surface of hip joint with metal on polyethylene synthetic substitute, open approach, no qualifier",PCAD,,
ICD-10,0SRB039,0SRB039,"Replacement of left acetabular surface of hip joint with ceramic synthetic substitute, cemented, open approach",PCAD,,
ICD-10,0SRB03A,0SRB03A,"Replacement of left acetabular surface of hip joint with ceramic synthetic substitute, uncemented, open approach",PCAD,,
ICD-10,0SRB03Z,0SRB03Z,"Replacement of left acetabular surface of hip joint with ceramic synthetic substitute, open approach, no qualifier",PCAD,,
ICD-10,0SRB049,0SRB049,"Replacement of left acetabular surface of hip joint with ceramic on polyethylene synthetic substitute, cemented, open approach",PCAD,,
ICD-10,0SRB04A,0SRB04A,"Replacement of left acetabular surface of hip joint with ceramic on polyethylene synthetic substitute, uncemented, open approach",PCAD,,
ICD-10,0SRB04Z,0SRB04Z,"Replacement of left acetabular surface of hip joint with ceramic on polyethylene synthetic substitute, open approach, no qualifier",PCAD,,
ICD-10,0SRB069,0SRB069,"Replacement of left acetabular surface of hip joint with oxidized zirconium on polyethylene synthetic substitute, cemented, open approach",PCAD,,
ICD-10,0SRB06A,0SRB06A,"Replacement of left acetabular surface of hip joint with oxidized zirconium on polyethylene synthetic substitute, uncemented, open approach",PCAD,,
ICD-10,0SRB06Z,0SRB06Z,"Replacement of left acetabular surface of hip joint with oxidized zirconium on polyethylene synthetic substitute, open approach, no qualifier",PCAD,,
ICD-10,0SRB0J9,0SRB0J9,"Replacement of left acetabular surface of hip joint with synthetic substitute, cemented, open approach",PCAD,,
ICD-10,0SRB0JA,0SRB0JA,"Replacement of left acetabular surface of hip joint with synthetic substitute, uncemented, open approach",PCAD,,
ICD-10,0SRB0JZ,0SRB0JZ,"Replacement of left acetabular surface of hip joint with synthetic substitute, open approach, no qualifier",PCAD,,
ICD-10,0SRB009,0SRB009,"Replacement of left acetabular surface of hip joint with polyethylene synthetic substitute, cemented, open approach",PCAD,,
ICD-10,0SRB00A,0SRB00A,"Replacement of left acetabular surface of hip joint with polyethylene synthetic substitute, uncemented, open approach",PCAD,,
ICD-10,0SRB00Z,0SRB00Z,"Replacement of left acetabular surface of hip joint with polyethylene synthetic substitute, open approach, no qualifier",PCAD,,
ICD-10,0SRE019,0SRE019,"Replacement of Right Hip Joint with Synthetic Substitute, Open Approach",PCAD,,
ICD-10,0SRE01A,0SRE01A,"Replacement of Right Hip Joint with Metal Synthetic Substitute, Open Approach",PCAD,,
ICD-10,0SRE01Z,0SRE01Z,"Replacement of Right Hip Joint with Nonautologous Tissue Substitute, Open Approach",PCAD,,
ICD-10,0SRE029,0SRE029,"Replacement of Left Hip Joint with Synthetic Substitute, Open Approach",PCAD,,
ICD-10,0SRE02A,0SRE02A,"Replacement of Left Hip Joint with Metal Synthetic Substitute, Open Approach",PCAD,,
ICD-10,0SRE02Z,0SRE02Z,"Replacement of Left Hip Joint with Nonautologous Tissue Substitute, Open Approach",PCAD,,
ICD-10,0SRE039,0SRE039,"Replacement of Bilateral Hip Joints with Synthetic Substitutes, Open Approach",PCAD,,
ICD-10,0SRE03A,0SRE03A,"Replacement of Bilateral Hip Joints with Metal Synthetic Substitutes, Open Approach",PCAD,,
ICD-10,0SRE03Z,0SRE03Z,"Replacement of Bilateral Hip Joints with Nonautologous Tissue Substitutes, Open Approach",PCAD,,
ICD-10,0SRE049,0SRE049,"Revision of Right Hip Joint Prosthesis using Synthetic Material, Open Approach",PCAD,,
ICD-10,0SRE04A,0SRE04A,"Revision of Right Hip Joint Prosthesis using Metal Material, Open Approach",PCAD,,
ICD-10,0SRE04Z,0SRE04Z,"Revision of Right Hip Joint Prosthesis using Nonautologous Tissue Material, Open Approach",PCAD,,
ICD-10,0SRE069,0SRE069,"Revision of Left Hip Joint Prosthesis using Synthetic Material, Open Approach",PCAD,,
ICD-10,0SRE06A,0SRE06A,"Revision of Left Hip Joint Prosthesis using Metal Material, Open Approach",PCAD,,
ICD-10,0SRE06Z,0SRE06Z,"Revision of Left Hip Joint Prosthesis using Nonautologous Tissue Material, Open Approach",PCAD,,
ICD-10,0SRE0J9,0SRE0J9,"Revision of Bilateral Hip Joint Prostheses using Synthetic Material, Open Approach",PCAD,,
ICD-10,0SRE0JA,0SRE0JA,"Revision of Bilateral Hip Joint Prostheses using Metal Material, Open Approach",PCAD,,
ICD-10,0SRE0JZ,0SRE0JZ,"Revision of Bilateral Hip Joint Prostheses using Nonautologous Tissue Material, Open Approach",PCAD,,
ICD-10,0SRE009,0SRE009,"Revision of Unspecified Hip Joint Prosthesis using Synthetic Material, Open Approach",PCAD,,
ICD-10,0SRE00A,0SRE00A,"Revision of Unspecified Hip Joint Prosthesis using Metal Material, Open Approach",PCAD,,
ICD-10,0SRE00Z,0SRE00Z,"Revision of Unspecified Hip Joint Prosthesis using Nonautologous Tissue Material, Open Approach",PCAD,,
ICD-10,0SRR019,0SRR019,"Replacement of right hip joint, acetabular surface with metal synthetic substitute, cemented, open approach",PCAD,,
ICD-10,0SRR01A,0SRR01A,"Replacement of right hip joint, acetabular surface with metal synthetic substitute, uncemented, open approach",PCAD,,
ICD-10,0SRR01Z,0SRR01Z,"Replacement of right hip joint, acetabular surface with metal synthetic substitute, open approach, no qualifier",PCAD,,
ICD-10,0SRR029,0SRR029,"Replacement of right hip joint, acetabular surface with ceramic synthetic substitute, cemented, open approach",PCAD,,
ICD-10,0SRR02A,0SRR02A,"Replacement of right hip joint, acetabular surface with ceramic synthetic substitute, uncemented, open approach",PCAD,,
ICD-10,0SRR02Z,0SRR02Z,"Replacement of right hip joint, acetabular surface with ceramic synthetic substitute, open approach, no qualifier",PCAD,,
ICD-10,0SRR039,0SRR039,"Replacement of right hip joint, acetabular surface with polyethylene synthetic substitute, cemented, open approach",PCAD,,
ICD-10,0SRR03A,0SRR03A,"Replacement of right hip joint, acetabular surface with polyethylene synthetic substitute, uncemented, open approach",PCAD,,
ICD-10,0SRR03Z,0SRR03Z,"Replacement of right hip joint, acetabular surface with polyethylene synthetic substitute, open approach, no qualifier",PCAD,,
ICD-10,0SRR049,0SRR049,"Replacement of right hip joint, acetabular surface with other synthetic substitute, cemented, open approach",PCAD,,
ICD-10,0SRR04A,0SRR04A,"Replacement of right hip joint, acetabular surface with other synthetic substitute, uncemented, open approach",PCAD,,
ICD-10,0SRR04Z,0SRR04Z,"Replacement of right hip joint, acetabular surface with other synthetic substitute, open approach, no qualifier",PCAD,,
ICD-10,0SRR069,0SRR069,"Replacement of right hip joint, acetabular surface with synthetic substitute, cemented, open approach",PCAD,,
ICD-10,0SRR06A,0SRR06A,"Replacement of right hip joint, acetabular surface with synthetic substitute, uncemented, open approach",PCAD,,
ICD-10,0SRR06Z,0SRR06Z,"Replacement of right hip joint, acetabular surface with synthetic substitute, open approach, no qualifier",PCAD,,
ICD-10,0SRR0J9,0SRR0J9,"Replacement of right hip joint, acetabular surface with synthetic substitute, cemented, open approach",PCAD,,
ICD-10,0SRR0JA,0SRR0JA,"Replacement of right hip joint, acetabular surface with synthetic substitute, uncemented, open approach",PCAD,,
ICD-10,0SRR0JZ,0SRR0JZ,"Replacement of right hip joint, acetabular surface with synthetic substitute, open approach, no qualifier",PCAD,,
ICD-10,0SRR009,0SRR009,"Replacement of right hip joint, acetabular surface with synthetic substitute, cemented, open approach",PCAD,,
ICD-10,0SRR00A,0SRR00A,"Replacement of right hip joint, acetabular surface with synthetic substitute, uncemented, open approach",PCAD,,
ICD-10,0SRR00Z,0SRR00Z,"Replacement of right hip joint, acetabular surface with synthetic substitute, open approach, no qualifier",PCAD,,
ICD-10,0SRS019,0SRS019,"Replacement of left hip joint, acetabular surface with metal synthetic substitute, cemented, open approach",PCAD,,
ICD-10,0SRS01A,0SRS01A,"Replacement of left hip joint, acetabular surface with metal synthetic substitute, uncemented, open approach",PCAD,,
ICD-10,0SRS01Z,0SRS01Z,"Replacement of left hip joint, acetabular surface with metal synthetic substitute, open approach, no qualifier",PCAD,,
ICD-10,0SRS029,0SRS029,"Replacement of left hip joint, acetabular surface with ceramic synthetic substitute, cemented, open approach",PCAD,,
ICD-10,0SRS02A,0SRS02A,"Replacement of left hip joint, acetabular surface with ceramic synthetic substitute, uncemented, open approach",PCAD,,
ICD-10,0SRS02Z,0SRS02Z,"Replacement of left hip joint, acetabular surface with ceramic synthetic substitute, open approach, no qualifier",PCAD,,
ICD-10,0SRS039,0SRS039,"Replacement of left hip joint, acetabular surface with polyethylene synthetic substitute, cemented, open approach",PCAD,,
ICD-10,0SRS03A,0SRS03A,"Replacement of left hip joint, acetabular surface with polyethylene synthetic substitute, uncemented, open approach",PCAD,,
ICD-10,0SRS03Z,0SRS03Z,"Replacement of left hip joint, acetabular surface with polyethylene synthetic substitute, open approach, no qualifier",PCAD,,
ICD-10,0SRS049,0SRS049,"Replacement of left hip joint, acetabular surface with other synthetic substitute, cemented, open approach",PCAD,,
ICD-10,0SRS04A,0SRS04A,"Replacement of left hip joint, acetabular surface with other synthetic substitute, uncemented, open approach",PCAD,,
ICD-10,0SRS04Z,0SRS04Z,"Replacement of left hip joint, acetabular surface with other synthetic substitute, open approach, no qualifier",PCAD,,
ICD-10,0SRS069,0SRS069,"Replacement of left hip joint, acetabular surface with synthetic substitute, cemented, open approach",PCAD,,
ICD-10,0SRS06A,0SRS06A,"Replacement of left hip joint, acetabular surface with synthetic substitute, uncemented, open approach",PCAD,,
ICD-10,0SRS06Z,0SRS06Z,"Replacement of left hip joint, acetabular surface with synthetic substitute, open approach, no qualifier",PCAD,,
ICD-10,0SRS0J9,0SRS0J9,"Replacement of left hip joint, acetabular surface with synthetic substitute, cemented, open approach",PCAD,,
ICD-10,0SRS0JA,0SRS0JA,"Replacement of left hip joint, acetabular surface with synthetic substitute, uncemented, open approach",PCAD,,
ICD-10,0SRS0JZ,0SRS0JZ,"Replacement of left hip joint, acetabular surface with synthetic substitute, open approach, no qualifier",PCAD,,
ICD-10,0SRS009,0SRS009,"Replacement of left hip joint, acetabular surface with synthetic substitute, cemented, open approach",PCAD,,
ICD-10,0SRS00A,0SRS00A,"Replacement of left hip joint, acetabular surface with synthetic substitute, uncemented, open approach",PCAD,,
ICD-10,0SRS00Z,0SRS00Z,"Replacement of left hip joint, acetabular surface with synthetic substitute, open approach, no qualifier",PCAD,,
ICD-10,I85.01,I8501,Esophageal varices with bleeding,,HDIG,d1
ICD-10,I85.11,I8511,Secondary esophageal varices with bleeding,,HDIG,d1
ICD-10,K22.11,K2211,Ulcer of esophagus with bleeding,,HDIG,d1
ICD-10,K25.0,K250,Acute gastric ulcer with hemorrhage,,HDIG,d1
ICD-10,K25.2,K252,Acute gastric ulcer with both hemorrhage and perforation,,HDIG,d1
ICD-10,K25.4,K254,Chronic or unspecified gastric ulcer with hemorrhage,,HDIG,d1
ICD-10,K25.6,K256,Chronic or unspecified gastric ulcer with both hemorrhage and perforation,,HDIG,d1
ICD-10,K26.0,K260,Acute duodenal ulcer with hemorrhage,,HDIG,d1
ICD-10,K26.2,K262,Acute duodenal ulcer with both hemorrhage and perforation,,HDIG,d1
ICD-10,K26.4,K264,Chronic or unspecified duodenal ulcer with hemorrhage,,HDIG,d1
ICD-10,K26.6,K266,Chronic or unspecified duodenal ulcer with both hemorrhage and perforation,,HDIG,d1
ICD-10,K27.0,K270,"Acute peptic ulcer, site unspecified, with hemorrhage",,HDIG,d1
ICD-10,K27.2,K272,"Acute peptic ulcer, site unspecified, with both hemorrhage and perforation",,HDIG,d1
ICD-10,K27.4,K274,"Chronic or unspecified peptic ulcer, site unspecified, with hemorrhage",,HDIG,d1
ICD-10,K27.6,K276,"Chronic or unspecified peptic ulcer, site unspecified, with both hemorrhage and perforation",,HDIG,d1
ICD-10,K28.0,K280,Acute gastrojejunal ulcer with hemorrhage,,HDIG,d1
ICD-10,K28.2,K282,Acute gastrojejunal ulcer with both hemorrhage and perforation,,HDIG,d1
ICD-10,K28.4,K284,Chronic or unspecified gastrojejunal ulcer with hemorrhage,,HDIG,d1
ICD-10,K28.6,K286,Chronic or unspecified gastrojejunal ulcer with both hemorrhage and perforation,,HDIG,d1
ICD-10,K29.01,K2901,Acute hemorrhagic gastritis,,HDIG,d1
ICD-10,K29.21,K2921,Alcoholic hemorrhagic gastritis,,HDIG,d1
ICD-10,K29.31,K2931,Chronic superficial gastritis with bleeding,,HDIG,d1
ICD-10,K29.41,K2941,Chronic atrophic gastritis with bleeding,,HDIG,d1
ICD-10,K29.51,K2951,"Chronic gastritis with bleeding, unspecified",,HDIG,d1
ICD-10,K29.61,K2961,Other gastritis with bleeding,,HDIG,d1
ICD-10,K29.71,K2971,Gastric ulcer with bleeding,,HDIG,d1
ICD-10,K29.81,K2981,Duodenitis with bleeding,,HDIG,d1
ICD-10,K29.91,K2991,"Gastroduodenitis with bleeding, unspecified",,HDIG,d1
ICD-10,K92.0,K920,Hematemesis,,HDIG,d1
ICD-10,K92.1,K921,Melena,,HDIG,d1
ICD-10,K92.2,K922,"Gastrointestinal hemorrhage, unspecified",,HDIG,d1
ICD-10,K70.0,K700,Alcoholic fatty liver,,HDIG,d2-d20
ICD-10,K70.10,K7010,Alcoholic hepatitis without ascites,,HDIG,d2-d20
ICD-10,K70.11,K7011,Alcoholic hepatitis with ascites,,HDIG,d2-d20
ICD-10,K70.2,K702,Alcoholic fibrosis and sclerosis of liver,,HDIG,d2-d20
ICD-10,K70.30,K7030,Alcoholic cirrhosis of liver without ascites,,HDIG,d2-d20
ICD-10,K70.31,K7031,Alcoholic cirrhosis of liver with ascites,,HDIG,d2-d20
ICD-10,K70.40,K7040,Alcoholic hepatic failure without coma,,HDIG,d2-d20
ICD-10,K70.41,K7041,Alcoholic hepatic failure with coma,,HDIG,d2-d20
ICD-10,K70.9,K709,"Alcoholic liver disease, unspecified",,HDIG,d2-d20
ICD-10,K71.0,K710,Toxic liver disease with cholestasis,,HDIG,d2-d20
ICD-10,K71.10,K7110,"Toxic liver disease with hepatic necrosis, without coma",,HDIG,d2-d20
ICD-10,K71.11,K7111,"Toxic liver disease with hepatic necrosis, with coma",,HDIG,d2-d20
ICD-10,K71.2,K712,Toxic liver disease with acute hepatitis,,HDIG,d2-d20
ICD-10,K71.3,K713,Toxic liver disease with chronic persistent hepatitis,,HDIG,d2-d20
ICD-10,K71.4,K714,Toxic liver disease with chronic lobular hepatitis,,HDIG,d2-d20
ICD-10,K71.50,K7150,Toxic liver disease with chronic active hepatitis without ascites,,HDIG,d2-d20
ICD-10,K71.51,K7151,Toxic liver disease with chronic active hepatitis with ascites,,HDIG,d2-d20
ICD-10,K71.6,K716,"Toxic liver disease with hepatitis, not elsewhere classified",,HDIG,d2-d20
ICD-10,K71.7,K717,Toxic liver disease with fibrosis and cirrhosis of liver,,HDIG,d2-d20
ICD-10,K71.8,K718,Toxic liver disease with other disorders of liver,,HDIG,d2-d20
ICD-10,K71.9,K719,"Toxic liver disease, unspecified",,HDIG,d2-d20
ICD-10,K74.00,K7400,"Hepatic fibrosis, unspecified",,HDIG,d2-d20
ICD-10,K74.01,K7401,"Hepatic fibrosis, early fibrosis",,HDIG,d2-d20
ICD-10,K74.02,K7402,"Hepatic fibrosis, advanced fibrosis",,HDIG,d2-d20
ICD-10,K74.1,K741,Hepatic sclerosis,,HDIG,d2-d20
ICD-10,K74.2,K742,Hepatic fibrosis with hepatic sclerosis,,HDIG,d2-d20
ICD-10,K74.3,K743,Primary biliary cirrhosis,,HDIG,d2-d20
ICD-10,K74.4,K744,Secondary biliary cirrhosis,,HDIG,d2-d20
ICD-10,K74.5,K745,"Biliary cirrhosis, unspecified",,HDIG,d2-d20
ICD-10,K74.60,K7460,Unspecified cirrhosis of liver,,HDIG,d2-d20
ICD-10,K74.69,K7469,Other cirrhosis of liver,,HDIG,d2-d20
ICD-10,K75.81,K7581,Nonalcoholic steatohepatitis (NASH),,HDIG,d2-d20
