"encoding","code","code_clean","description","lymph_bl","observations"
"ICD-10","C85.28","C8528","Linfoma de células B grandes mediastínico (tímico) ganglios linfáticos de localizaciones múltiples",1,
"ICD-10","C85.29","C8529","Linfoma de células B grandes mediastínico (tímico) localizaciones extraganglionares y de órganos sólidos",1,
"ICD-10","C85.80","C8580","Otros tipos especificados de linfoma no Hodgkin localización no especificada",1,
"ICD-10","C85.81","C8581","Otros tipos especificados de linfoma no Hodgkin ganglios linfáticos de cabeza cara y cuello",1,
"ICD-10","C85.82","C8582","Otros tipos especificados de linfoma no Hodgkin ganglios linfáticos intratorácicos",1,
"ICD-10","C85.83","C8583","Otros tipos especificados de linfoma no Hodgkin ganglios linfáticos intraabdominales",1,
"ICD-10","C85.84","C8584","Otros tipos especificados de linfoma no Hodgkin ganglios linfáticos de axila y extremidad superior",1,
"ICD-10","C85.85","C8585","Otros tipos especificados de linfoma no Hodgkin ganglios linfáticos de región inguinal y extremidad inferior",1,
"ICD-10","C85.86","C8586","Otros tipos especificados de linfoma no Hodgkin ganglios linfáticos intrapélvicos",1,
"ICD-10","C85.87","C8587","Otros tipos especificados de linfoma no Hodgkin bazo",1,
"ICD-10","C85.88","C8588","Otros tipos especificados de linfoma no Hodgkin ganglios linfáticos de localizaciones múltiples",1,
"ICD-10","C85.89","C8589","Otros tipos especificados de linfoma no Hodgkin localizaciones extraganglionares y de órganos sólidos",1,
"ICD-10","C85.90","C8590","Linfoma no Hodgkin no especificado localización no especificada",1,
"ICD-10","C85.91","C8591","Linfoma no Hodgkin no especificado ganglios linfáticos de cabeza cara y cuello",1,
"ICD-10","C85.92","C8592","Linfoma no Hodgkin no especificado ganglios linfáticos intratorácicos",1,
"ICD-10","C85.93","C8593","Linfoma no Hodgkin no especificado ganglios linfáticos intraabdominales",1,
"ICD-10","C85.94","C8594","Linfoma no Hodgkin no especificado ganglios linfáticos de axila y extremidad superior",1,
"ICD-10","C85.95","C8595","Linfoma no Hodgkin no especificado ganglios linfáticos de región inguinal y extremidad inferior",1,
"ICD-10","C85.96","C8596","Linfoma no Hodgkin no especificado ganglios linfáticos intrapélvicos",1,
"ICD-10","C85.97","C8597","Linfoma no Hodgkin no especificado bazo",1,
"ICD-10","C85.98","C8598","Linfoma no Hodgkin no especificado ganglios linfáticos de localizaciones múltiples",1,
"ICD-10","C85.99","C8599","Linfoma no Hodgkin no especificado localizaciones extraganglionares y de órganos sólidos",1,
"ICD-10","C85.1","C851","Linfoma de células B no especificado",1,
"ICD-10","C85.2","C852","Linfoma de células B grandes mediastínico (tímico)",1,
"ICD-10","C85.8","C858","Otros tipos especificados de linfoma no Hodgkin",1,
"ICD-10","C85.9","C859","Linfoma no Hodgkin no especificado",1,
"ICD-10","C85","C85","Otros tipos de linfoma no Hodgkin y los no especificados",1,
